date,long,short,long_short
2013-02-20,0.998806883095,0.991999060762,1.006396059872
2013-02-21,0.997615189718,0.984062136553,1.012833029326
2013-02-22,0.996424918171,0.976188715193,1.019311170022
2013-02-25,0.995236066757,0.968378288598,1.025830745294
2013-02-26,0.994048633781,0.960630352752,1.032392020160
2013-02-27,0.992862617552,0.952944407670,1.038995261332
2013-02-28,0.991678016379,0.945319957367,1.045640737230
2013-03-01,0.990494828573,0.937756509828,1.052328717990
2013-03-04,0.989313052449,0.930253576973,1.059059475476
2013-03-05,0.987768563883,0.928622679297,1.059259284422
2013-03-06,0.986226486531,0.926994640871,1.059459131065
2013-03-07,0.984686816628,0.925369456681,1.059659015413
2013-03-08,0.983149550415,0.923747121724,1.059858937472
2013-03-11,0.981614684140,0.922127631005,1.060058897249
2013-03-12,0.980082214057,0.920510979537,1.060258894752
2013-03-13,0.978552136424,0.918897162343,1.060458929988
2013-03-14,0.977024447507,0.917286174453,1.060659002964
2013-03-15,0.975499143576,0.915678010908,1.060859113688
2013-03-18,0.973976220908,0.914072666755,1.061059262165
2013-03-19,0.972455675786,0.912470137052,1.061259448403
2013-03-20,0.971865776896,0.912617019013,1.060443264808
2013-03-21,0.971276235843,0.912763924618,1.059627708916
2013-03-22,0.970687052410,0.912910853871,1.058812780244
2013-03-25,0.970098226380,0.913057806775,1.057998478310
2013-03-26,0.969509757536,0.913204783334,1.057184802631
2013-03-27,0.968921645662,0.913351783553,1.056371752727
2013-03-28,0.968333890541,0.913498807434,1.055559328116
2013-03-29,0.967746491957,0.913645854982,1.054747528316
2013-04-01,0.967159449693,0.913792926200,1.053936352849
2013-04-02,0.966572763533,0.913940021093,1.053125801232
2013-04-03,0.965986433262,0.914087139664,1.052315872987
2013-04-08,0.965400458663,0.914234281917,1.051506567634
2013-04-09,0.964814839520,0.914381447856,1.050697884694
2013-04-10,0.963347176058,0.912646463380,1.051086526281
2013-04-11,0.961881745185,0.910914770934,1.051475311622
2013-04-12,0.960418543507,0.909186364272,1.051864240771
2013-04-15,0.958957567632,0.907461237159,1.052253313780
2013-04-16,0.957498814173,0.905739383371,1.052642530703
2013-04-17,0.956042279751,0.904020796700,1.053031891593
2013-04-18,0.954587960990,0.902305470944,1.053421396504
2013-04-19,0.953135854519,0.900593399917,1.053811045488
2013-04-22,0.951685956972,0.898884577443,1.054200838598
2013-04-23,0.950238264991,0.897178997358,1.054590775889
2013-04-24,0.955663336416,0.900654774773,1.056670664765
2013-04-25,0.961119380494,0.904144017759,1.058754655647
2013-04-26,0.966606574052,0.907646778486,1.060842756626
2013-05-02,0.972125094930,0.911163109321,1.062934975806
2013-05-03,0.977675121979,0.914693062837,1.065031321310
2013-05-06,0.983256835074,0.918236691809,1.067131801277
2013-05-07,0.988870415116,0.921794049220,1.069236423860
2013-05-08,0.994516044038,0.925365188253,1.071345197229
2013-05-09,1.000193904813,0.928950162300,1.073458129571
2013-05-10,1.005904181459,0.932549024960,1.075575229089
2013-05-13,1.011647059042,0.936161830040,1.077696504000
2013-05-14,1.017422723688,0.939788631553,1.079821962539
2013-05-15,1.023231362583,0.943429483723,1.081951612958
2013-05-16,1.029073163982,0.947084440985,1.084085463525
2013-05-17,1.034948317216,0.950753557983,1.086223522521
2013-05-20,1.040857012697,0.954436889574,1.088365798248
2013-05-21,1.046799441922,0.958134490827,1.090512299023
