date,asset_code,factor_value,group_id,period_return,excess_return
2017-02-07,钢铁,0.029651,1,0.034599,0.000725
2017-02-07,石油石化,0.027878,1,-0.008539,-0.042413
2017-02-07,国防军工,0.025904,1,0.019326,-0.014548
2017-02-07,有色金属,0.022062,1,0.029098,-0.004776
2017-02-07,银行,0.020083,1,0.020851,-0.013023
2017-02-07,汽车,0.012758,2,0.028109,-0.005766
2017-02-07,建材,0.010796,2,0.046679,0.012805
2017-02-07,煤炭,0.010521,2,0.036576,0.002702
2017-02-07,食品饮料,0.005291,2,0.066559,0.032685
2017-02-07,建筑,-0.002021,2,0.025324,-0.00855
2017-02-07,交通运输,-0.003726,3,0.038169,0.004295
2017-02-07,家电,-0.006275,3,0.089778,0.055904
2017-02-07,电力及公用事业,-0.006359,3,0.03894,0.005066
2017-02-07,非银行金融,-0.009872,3,0.013184,-0.02069
2017-02-07,消费者服务,-0.015783,3,0.045806,0.011932
2017-02-07,电力设备及新能源,-0.016446,4,0.038956,0.005082
2017-02-07,电子,-0.016751,4,0.067815,0.033941
2017-02-07,房地产,-0.018975,4,0.018707,-0.015167
2017-02-07,医药,-0.019993,4,0.031048,-0.002826
2017-02-07,机械,-0.021107,4,0.0512,0.017326
2017-02-07,商贸零售,-0.026689,5,0.020851,-0.013024
2017-02-07,基础化工,-0.029457,5,0.045267,0.011393
2017-02-07,轻工制造,-0.030184,5,0.059634,0.025759
2017-02-07,农林牧渔,-0.030923,5,0.017229,-0.016645
2017-02-07,传媒,-0.034099,5,0.036857,0.002983
2017-02-07,通信,-0.040554,5,0.061351,0.027477
2017-02-07,纺织服装,-0.042044,5,0.023955,-0.009919
2017-02-07,计算机,-0.064142,5,0.059521,0.025647
2017-02-08,国防军工,0.037467,1,0.002182,-0.022729
2017-02-08,银行,0.019423,1,0.018294,-0.006617
2017-02-08,钢铁,0.018376,1,0.024464,-0.000447
2017-02-08,煤炭,0.015964,1,0.017728,-0.007184
2017-02-08,石油石化,0.015355,1,-0.008078,-0.032989
2017-02-08,建材,0.012293,2,0.036966,0.012055
2017-02-08,有色金属,0.011424,2,0.025378,0.000467
2017-02-08,汽车,0.003796,2,0.017156,-0.007755
2017-02-08,非银行金融,-0.001364,2,-0.002217,-0.027128
2017-02-08,电力及公用事业,-0.007223,2,0.032121,0.00721
2017-02-08,交通运输,-0.007833,3,0.031673,0.006762
2017-02-08,建筑,-0.008437,3,0.02664,0.001728
2017-02-08,家电,-0.011639,3,0.079333,0.054422
2017-02-08,食品饮料,-0.012439,3,0.058004,0.033093
2017-02-08,房地产,-0.019367,3,0.017853,-0.007058
2017-02-08,电子,-0.019836,4,0.050442,0.025531
2017-02-08,医药,-0.021934,4,0.023043,-0.001868
2017-02-08,消费者服务,-0.022486,4,0.042305,0.017394
2017-02-08,机械,-0.0238,4,0.039043,0.014132
2017-02-08,电力设备及新能源,-0.024878,4,0.031453,0.006542
2017-02-08,商贸零售,-0.033877,5,0.013468,-0.011443
2017-02-08,农林牧渔,-0.036084,5,0.009489,-0.015422
2017-02-08,轻工制造,-0.036594,5,0.047515,0.022604
2017-02-08,传媒,-0.037447,5,0.02143,-0.003481
2017-02-08,基础化工,-0.039987,5,0.035751,0.01084
